number,bal_score,diag,KronRad (kpc),separation (kpc),area (kpc^2),sep/area (kpc),x,y,KronMag,Abs. Mag,Angle,Ellipticity,RA,Host RA,DEC,Host Dec,Discrepency (arcsecs),Z,SDSS Photoz,pixelRank,chance coincidence
156,0.23,3,,,x,,,,,x,,x,,,,,,,,,x
157,0.25,1,x,,x,,,,,x,,x,,,,,,,,,x
158,0.23,2,,x,x,,,,,x,,x,,,,,,,,,x
159,0.27,3,x,x,x,,,,,x,,x,,,,,,,,,x
160,0.41,7,,,,,,,,,,,,,,,,x,,,x
161,0.31,4,x,,,,,,,,,,,,,,,x,,,x
162,0.36,5,,x,,,,,,,,,,,,,,x,,,x
163,0.31,4,x,x,,,,,,,,,,,,,,x,,,x
164,0.38,5,,,x,,,,,,,,,,,,,x,,,x
165,0.31,4,x,,x,,,,,,,,,,,,,x,,,x
166,0.36,5,,x,x,,,,,,,,,,,,,x,,,x
167,0.33,6,x,x,x,,,,,,,,,,,,,x,,,x
168,0.38,5,,,,,,,,x,,,,,,,,x,,,x
169,0.23,2,x,,,,,,,x,,,,,,,,x,,,x
170,0.37,6,,x,,,,,,x,,,,,,,,x,,,x
171,0.25,2,x,x,,,,,,x,,,,,,,,x,,,x
172,0.36,5,,,x,,,,,x,,,,,,,,x,,,x
173,0.33,4,x,,x,,,,,x,,,,,,,,x,,,x
174,0.38,6,,x,x,,,,,x,,,,,,,,x,,,x
175,0.33,3,x,x,x,,,,,x,,,,,,,,x,,,x
176,0.32,4,,,,,,,,,,x,,,,,,x,,,x
177,0.29,3,x,,,,,,,,,x,,,,,,x,,,x
178,0.30,2,,x,,,,,,,,x,,,,,,x,,,x
179,0.29,3,x,x,,,,,,,,x,,,,,,x,,,x
180,0.35,6,,,x,,,,,,,x,,,,,,x,,,x
181,0.29,3,x,,x,,,,,,,x,,,,,,x,,,x
182,0.34,5,,x,x,,,,,,,x,,,,,,x,,,x
183,0.30,3,x,x,x,,,,,,,x,,,,,,x,,,x
184,0.35,6,,,,,,,,x,,x,,,,,,x,,,x
185,0.31,5,x,,,,,,,x,,x,,,,,,x,,,x
186,0.34,6,,x,,,,,,x,,x,,,,,,x,,,x
187,0.31,5,x,x,,,,,,x,,x,,,,,,x,,,x
188,0.34,4,,,x,,,,,x,,x,,,,,,x,,,x
189,0.29,2,x,,x,,,,,x,,x,,,,,,x,,,x
190,0.31,4,,x,x,,,,,x,,x,,,,,,x,,,x
191,0.29,2,x,x,x,,,,,x,,x,,,,,,x,,,x
192,0.33,5,,,,,,,,,,,,,,,,,,x,x
193,0.38,6,x,,,,,,,,,,,,,,,,,x,x
194,0.32,4,,x,,,,,,,,,,,,,,,,x,x
195,0.37,6,x,x,,,,,,,,,,,,,,,,x,x
196,0.31,4,,,x,,,,,,,,,,,,,,,x,x
197,0.34,5,x,,x,,,,,,,,,,,,,,,x,x
198,0.32,5,,x,x,,,,,,,,,,,,,,,x,x
199,0.35,6,x,x,x,,,,,,,,,,,,,,,x,x
200,0.36,5,,,,,,,,x,,,,,,,,,,x,x
201,0.33,6,x,,,,,,,x,,,,,,,,,,x,x
202,0.33,5,,x,,,,,,x,,,,,,,,,,x,x
203,0.34,5,x,x,,,,,,x,,,,,,,,,,x,x
204,0.30,5,,,x,,,,,x,,,,,,,,,,x,x
205,0.32,5,x,,x,,,,,x,,,,,,,,,,x,x
206,0.31,5,,x,x,,,,,x,,,,,,,,,,x,x
207,0.32,5,x,x,x,,,,,x,,,,,,,,,,x,x
208,0.25,4,,,,,,,,,,x,,,,,,,,x,x
209,0.32,5,x,,,,,,,,,x,,,,,,,,x,x
210,0.26,3,,x,,,,,,,,x,,,,,,,,x,x
211,0.32,5,x,x,,,,,,,,x,,,,,,,,x,x
212,0.27,3,,,x,,,,,,,x,,,,,,,,x,x
213,0.32,6,x,,x,,,,,,,x,,,,,,,,x,x
214,0.29,3,,x,x,,,,,,,x,,,,,,,,x,x
215,0.31,5,x,x,x,,,,,,,x,,,,,,,,x,x
216,0.23,2,,,,,,,,x,,x,,,,,,,,x,x
217,0.30,5,x,,,,,,,x,,x,,,,,,,,x,x
218,0.26,4,,x,,,,,,x,,x,,,,,,,,x,x
219,0.30,4,x,x,,,,,,x,,x,,,,,,,,x,x
220,0.27,4,,,x,,,,,x,,x,,,,,,,,x,x
221,0.29,5,x,,x,,,,,x,,x,,,,,,,,x,x
222,0.27,4,,x,x,,,,,x,,x,,,,,,,,x,x
223,0.31,4,x,x,x,,,,,x,,x,,,,,,,,x,x
224,0.42,5,,,,,,,,,,,,,,,,x,,x,x
225,0.37,5,x,,,,,,,,,,,,,,,x,,x,x
226,0.44,6,,x,,,,,,,,,,,,,,x,,x,x
227,0.35,5,x,x,,,,,,,,,,,,,,x,,x,x
228,0.40,6,,,x,,,,,,,,,,,,,x,,x,x
229,0.36,6,x,,x,,,,,,,,,,,,,x,,x,x
230,0.43,6,,x,x,,,,,,,,,,,,,x,,x,x
231,0.34,4,x,x,x,,,,,,,,,,,,,x,,x,x
232,0.36,5,,,,,,,,x,,,,,,,,x,,x,x
233,0.33,5,x,,,,,,,x,,,,,,,,x,,x,x
234,0.38,6,,x,,,,,,x,,,,,,,,x,,x,x
235,0.32,4,x,x,,,,,,x,,,,,,,,x,,x,x
236,0.38,6,,,x,,,,,x,,,,,,,,x,,x,x
