ra dec type modelMag_g modelMag_r modelMag_i modelMag_z z zErr idnum
35.090557030767 -4.68017088080446 3 22.56898 21.39913 20.53847 20.03947 0.610663 0.063981 000038
35.0920225631361 -4.67617110015883 3 24.57015 21.88651 21.4992 21.17367 0.269955 0.044186 000038
35.0921321377069 -4.6745871250934 6 21.84867 20.69655 20.38022 20.15942 nan nan 000038
35.0953636371914 -4.67765901006313 3 22.26361 21.29288 21.00621 21.20522 0.571001 0.130799 000038
35.0973392150892 -4.67444397398318 3 20.51963 20.3061 20.13228 20.25974 0.129293 0.110573 000038
35.0909774083694 -4.66969548024135 6 20.88761 19.38433 18.62576 18.20568 nan nan 000038
35.0943951640672 -4.66979828675118 3 23.90543 22.33913 22.75542 23.36485 0.46083 0.08979 000038
35.088786536695 -4.67800957048997 3 23.92225 21.78186 21.46334 21.22151 0.295276 0.05831 000038
129.267632231164 43.7445414580186 6 22.78803 22.95695 22.72239 22.36048 nan nan 000076
129.267139449649 43.7374210629265 3 22.36843 22.20276 21.97478 22.348 0.367572 0.126027 000076
129.255254640759 43.7437648547762 3 21.94267 21.21436 21.06767 20.9066 0.300332 0.08673 000076
129.270003010299 43.7431993934524 6 23.03903 21.64921 20.18283 19.43782 nan nan 000076
129.268802829635 43.7457018329218 6 24.59538 21.86901 21.44416 22.08179 nan nan 000076
129.259283274129 43.7332350009437 3 22.52995 21.71719 21.35292 22.38899 -9999.0 -9999.0 000076
129.263606400723 43.7363525254706 6 23.54261 23.21631 22.01347 22.88681 nan nan 000076
129.264547718619 43.7387144862332 3 24.34811 22.34118 22.39784 22.49345 0.173763 0.078004 000076
129.256233674891 43.7356141626485 3 24.10847 22.71454 21.29512 20.53278 0.722519 0.058666 000076
129.250436406585 43.7358950279881 6 22.82855 21.08605 20.17936 19.7622 nan nan 000076
129.261165702189 43.7297948846876 6 23.79716 22.714 22.02082 22.20494 nan nan 000076
129.261669350697 43.7382215291627 3 19.35027 18.33876 17.8775 17.56301 0.235982 0.02528 000076
129.318220773121 44.3322439279995 3 24.96838 23.1257 21.1979 21.08069 0.854548 0.054982 000091
129.323062830776 44.3325679147271 3 31.22886 31.27515 17.36623 28.26825 -9999.0 -9999.0 000091
129.335706608567 44.3385653506257 3 23.11664 22.47424 21.24464 21.59201 0.549272 0.134124 000091
129.340273487556 44.3264515696225 6 25.31595 25.77666 24.73482 20.79165 nan nan 000091
129.327375469111 44.3275506104381 3 24.85167 24.18511 20.92104 20.66773 -9999.0 -9999.0 000091
129.326202271263 44.3288217559878 6 23.36981 22.30466 22.18865 22.36182 nan nan 000091
129.340095022992 44.3385439915524 3 21.47329 21.1495 20.85158 21.23098 0.093293 0.076692 000091
129.325637925228 44.329938919218 3 22.17477 21.49581 21.31961 21.78741 0.095793 0.08576 000091
129.327495943875 44.339768784428 3 22.51439 21.70657 21.23161 21.43523 0.440382 0.151039 000091
129.317841492665 44.3363806704639 6 22.16253 20.7053 19.41746 18.9329 nan nan 000091
129.333137458733 44.3287699584296 3 20.02088 19.04306 18.67186 18.44117 0.180944 0.049841 000091
129.333064575245 44.3293193754126 3 24.73608 24.73407 24.4042 22.35111 -9999.0 -9999.0 000091
129.321744858642 44.3362883520774 3 23.42601 21.9309 21.00871 21.32076 0.384241 0.101735 000091
184.916863366423 46.0363263614977 3 23.57285 22.61696 21.68234 20.99145 0.797024 0.101162 000098
184.913248487388 46.0271542386258 3 23.97315 22.82261 22.14999 21.3309 0.645002 0.104896 000098
184.909468731937 46.0295308399755 3 24.46325 22.34941 22.5603 22.76674 0.244129 0.092338 000098
184.895875583553 46.0299026638122 6 23.44556 23.73926 23.39851 22.28524 nan nan 000098
184.901690571075 46.0355640942355 3 25.14709 22.8324 21.49619 20.38545 -9999.0 -9999.0 000098
184.897593546626 46.0346777771751 3 22.94088 24.01017 23.10984 21.36227 -9999.0 -9999.0 000098
184.89835613088 46.0330562429276 3 23.426 21.96241 21.1948 20.24638 0.687379 0.08195 000098
184.90051871348 46.024185577172 3 23.37854 22.37823 21.89851 21.30924 0.582418 0.113801 000098
184.90478387516 46.0301370621696 6 22.41843 21.59714 21.21857 20.80161 nan nan 000098
184.905862470941 46.0324418551253 3 18.10048 17.6911 17.3999 17.26124 0.068264 0.014075 000098
184.907907561123 46.0257168220447 6 23.13075 21.72697 21.20413 20.53861 nan nan 000098
184.913562857186 46.0351390122593 3 23.27329 21.31568 20.22312 19.80508 0.60009 0.03835 000098
184.910382127436 46.0291424940718 6 23.51668 23.76101 22.23984 22.7631 nan nan 000098
184.908314784045 46.0278169346437 3 22.844 22.28168 21.78883 21.3626 0.682408 0.12769 000098
184.894782402941 46.0250674936283 3 20.5702 18.87943 18.29551 17.96387 0.3303 0.02158 000098
160.718949390161 58.0327197565142 3 19.47918 18.14622 17.59529 17.18465 0.213567 0.027155 000133
160.713551739652 58.0326838704676 3 25.73147 25.04848 24.16924 20.73265 -9999.0 -9999.0 000133
160.721253597673 58.0343004906421 6 25.30225 24.64916 24.24511 20.73677 nan nan 000133
160.709916227819 58.0358164630488 3 22.43261 21.70809 20.99437 20.81419 0.676341 0.072897 000133
160.719370558826 58.0400093245156 3 23.74937 22.59089 21.84232 21.18827 0.625431 0.112795 000133
160.726784966847 58.0258602888552 3 25.30679 25.35263 24.27152 20.41553 -9999.0 -9999.0 000133
160.707728272475 58.0377946097581 3 24.40948 24.75207 21.68419 20.83572 0.185126 0.114122 000133
160.722485233119 58.0261391884092 6 20.37867 18.98804 17.78366 17.15628 nan nan 000133
160.710149479736 58.0325548892716 3 21.85735 24.78769 25.08043 21.01411 -9999.0 -9999.0 000133
160.726220016958 58.0385147477861 3 22.37479 21.54611 20.72684 20.34255 0.633846 0.096159 000133
