ra dec type modelMag_g modelMag_r modelMag_i modelMag_z z zErr idnum
36.0728960027779 -3.1826058522706 3 23.40451 22.38174 21.76815 22.05865 0.547361 0.117119 000034
35.0881300113006 -4.67587940176062 6 23.38074 23.94153 22.19704 22.15635 nan nan 000038
35.0887865367166 -4.67800957046781 3 23.92486 21.77668 21.45815 21.21081 0.295276 0.05831 000038
35.0892865195447 -4.67551177427103 3 22.08615 21.48937 20.90583 20.61147 0.687903 0.101614 000038
35.0905570300234 -4.68017088156551 3 22.57218 21.39392 20.53346 20.02913 0.610663 0.063981 000038
35.0909774210175 -4.66969546729605 6 20.89023 19.38208 18.62016 18.19326 nan nan 000038
35.0921321431574 -4.67458711951479 6 21.85116 20.69291 20.37515 20.14673 nan nan 000038
35.0920225685289 -4.67617109463934 3 24.57131 21.8829 21.49417 21.16194 0.269955 0.044186 000038
35.0973392205473 -4.6744439683995 3 20.52212 20.30247 20.1272 20.24708 0.129293 0.110573 000038
35.0957429886586 -4.67143845381756 6 25.42252 23.17759 21.37863 20.93367 nan nan 000038
35.0958321317154 -4.67310612381002 3 20.80515 20.40928 20.19461 20.9047 0.098992 0.053569 000038
35.096024855424 -4.67475374719695 3 22.32806 21.38453 21.0412 21.68817 0.732666 0.116514 000038
35.0953636372347 -4.67765901001881 3 22.26684 21.28767 21.00099 21.19449 0.571001 0.130799 000038
35.0943951757199 -4.66979827483052 3 23.90619 22.33716 22.75038 23.37057 0.46083 0.08979 000038
129.250436406339 43.7358950281179 6 22.83906 21.08934 20.18285 19.77089 nan nan 000076
129.255254641851 43.7437648542003 3 21.95324 21.21772 21.07016 20.91412 0.300332 0.08673 000076
129.256233670753 43.7356141648301 3 24.11498 22.71689 21.30077 20.54131 0.722519 0.058666 000076
129.259283273046 43.7332350015146 3 22.53965 21.7217 21.3583 22.39234 -9999.0 -9999.0 000076
129.261165698695 43.7297948865304 6 23.8052 22.71716 22.02677 22.21061 nan nan 000076
129.261669346641 43.7382215313016 3 19.35921 18.34121 17.88319 17.57179 0.235982 0.02528 000076
129.263606399201 43.7363525262736 6 23.55144 23.22039 22.01875 22.88633 nan nan 000076
129.264547717754 43.7387144866895 3 24.3541 22.34563 22.40298 22.49606 0.173763 0.078004 000076
129.267139448621 43.7374210634686 3 22.37818 22.20723 21.98007 22.35163 0.367572 0.126027 000076
129.267632231164 43.7445414580186 6 22.79674 22.95924 22.72754 22.36403 nan nan 000076
129.26880282562 43.7457018350397 6 24.59934 21.87144 21.44979 22.087 nan nan 000076
129.270003009173 43.7431993940461 6 23.04848 21.65373 20.18824 19.44657 nan nan 000076
129.317841487546 44.3363806732104 6 22.16813 20.71195 19.42802 18.942 nan nan 000091
129.318220773121 44.3322439279995 3 24.96874 23.13066 21.20914 21.09104 0.854548 0.054982 000091
129.321744850978 44.3362883561895 3 23.4285 21.93628 21.01997 21.33066 0.384241 0.101735 000091
129.323062807652 44.3325679271368 3 31.22606 31.27027 17.3791 28.25566 -9999.0 -9999.0 000091
129.325637915337 44.3299389245263 3 22.17755 21.50068 21.33206 21.79766 0.095793 0.08576 000091
129.326202265249 44.328821759216 6 23.3724 22.31213 22.20074 22.36738 nan nan 000091
129.327375469111 44.3275506104381 3 24.85234 24.18902 20.93354 20.68105 -9999.0 -9999.0 000091
129.327495936269 44.3397687885097 3 22.51706 21.71196 21.24284 21.44483 0.440382 0.151039 000091
129.333064575245 44.3293193754126 3 24.74049 24.73496 24.40367 22.35929 -9999.0 -9999.0 000091
129.333137459748 44.3287699582169 3 20.03141 19.05731 18.68569 18.46117 0.180944 0.049841 000091
129.335706598109 44.3385653562391 3 23.11929 22.47899 21.25742 21.60223 0.549272 0.134124 000091
129.340273487556 44.3264515696225 6 25.31523 25.77745 24.73586 20.7963 nan nan 000091
129.3400950166 44.3385439949841 3 21.47608 21.1571 20.8641 21.24341 0.093293 0.076692 000091
184.894782403008 46.0250674939879 3 20.57166 18.89051 18.307 17.96769 0.3303 0.02158 000098
184.895875583553 46.0299026638122 6 23.44591 23.74692 23.40591 22.28709 nan nan 000098
184.897593546626 46.0346777771751 3 22.93909 24.01523 23.11647 21.3664 -9999.0 -9999.0 000098
184.898356130739 46.0330562421798 3 23.42509 21.97193 21.20347 20.24938 0.687379 0.08195 000098
184.900518713549 46.0241855775384 3 23.37989 22.38906 21.90975 21.31263 0.582418 0.113801 000098
184.905862470789 46.0324418543305 3 18.09949 17.70073 17.40862 17.2643 0.068264 0.014075 000098
184.9047838752 46.0301370623788 6 22.41881 21.60728 21.22894 20.80545 nan nan 000098
184.907907561194 46.0257168224179 6 23.13214 21.73797 21.21556 20.54233 nan nan 000098
184.908314784087 46.0278169348629 3 22.84437 22.29169 21.79909 21.36612 0.682408 0.12769 000098
184.910382127859 46.0291424962873 6 23.51702 23.76858 22.24987 22.76333 nan nan 000098
184.909468731891 46.0295308397346 3 24.46345 22.35938 22.57 22.76696 0.244129 0.092338 000098
184.913248487457 46.0271542389839 3 23.97345 22.83228 22.16008 21.33444 0.645002 0.104896 000098
184.913562857182 46.0351390122426 3 23.27156 21.3238 20.23123 19.80977 0.60009 0.03835 000098
184.916863366445 46.0363263616131 3 23.5712 22.62482 21.69034 20.99586 0.797024 0.101162 000098
184.901690571126 46.0355640945016 3 25.14715 22.84013 21.50422 20.39007 -9999.0 -9999.0 000098
160.707728272475 58.0377946097581 3 24.41635 24.75264 21.69287 20.83171 0.185126 0.114122 000133
160.709916234674 58.0358164570672 3 22.44456 21.71962 21.00233 20.80956 0.676341 0.072897 000133
160.710149479736 58.0325548892716 3 21.86904 24.78784 25.07545 21.00952 -9999.0 -9999.0 000133
160.713551739652 58.0326838704676 3 25.72545 25.0459 24.17075 20.72793 -9999.0 -9999.0 000133
160.718799932229 58.0382457931231 3 22.1904 21.74469 21.61405 21.5377 0.158009 0.104128 000133
160.71894939591 58.0327197514955 3 19.49093 18.15784 17.60392 17.17973 0.213567 0.027155 000133
160.719370565145 58.0400093190008 3 23.75962 22.60282 21.85097 21.18445 0.625431 0.112795 000133
160.721253597673 58.0343004906421 6 25.30025 24.65078 24.24603 20.73205 nan nan 000133
160.722485238163 58.0261391840049 6 20.39 18.9991 17.7921 17.15312 nan nan 000133
