Name,R.A.,Dec.,z,Type,Phot.,Spec.
SN2002bo,"10:18:06.51,10:18:06.511,10:18:06.52","+21:49:41.7,+21:49:41.70,+21:49:41.2","0.00424,0.00424,0.00529,0.00606,0.00609,0.00636",Ia,773,64
SN2018bac,"10:42:42.150,10:42:42.160,10:42:42.24,10:42:42.14","+25:59:41.24,+25:59:41.16,+25:59:41.28,+25:59:41.0,+25:59:42","0.0372,0.0372",Ia,740,1
SN1991T,"12:34:10.20,12:34:10.08,12:34:10.17,12:34:10.210,12:34:10.21","+02:39:56.4,+02:39:56.52,+02:39:56.35,+02:39:56.59,+02:39:56.6,+02:39:56.3","0.005791,0.005791",Ia-91T,727,23
SN2012ht,"10:53:22.75,10:53:22.750","+16:46:34.9,+16:46:34.90",0.003559,Ia,695,26
SN2005ke,"03:35:04.35,03:35:04.344,03:35:4.34,03:35:04.351","-24:56:38.8,-24:56:38.76,-24:56:38.80","0.00488,0.004483,0.00449,0.00488",Ia Pec,689,30
SN2006X,"12:22:53.93,12:22:54,12:22:54.00,12:22:53.99,12:22:53.990,12:22:53.92","+15:48:32.0,+15:48:32.04,+15:48:33.12,+15:48:33.1,+15:48:33.08,+15:48:31.2","0.00524,0.006322,0.00524,0.00357,0.00633",Ia,689,85
SN2008hv,"09:07:34.06,09:07:34.066,09:07:34.08,09:07:34.061","+03:23:32.1,+03:23:32.18,+03:23:32.64,+03:23:32.10","0.013581,0.012549",Ia,633,15
SN2003du,"14:34:35.80,14:34:35.76,14:34:35.801,14:34:35.808","+59:20:03.8,+59:20:03.84,+59:20:03.80,+59:20:03.89",0.006381,Ia,628,80
SN2001el,"03:44:30.60,03:44:30.57,03:44:30.571","-44:38:23.4,-44:38:23.7,-44:38:23.71","0.00346,0.00364,0.00391,0.00405,0.00514,0.00536",Ia,618,11
SN1994D,"12:34:02.395,12:34:02.37,12:34:02.450,12:34:02.45","+07:42:05.70,+07:42:04.7,+07:42:04.72","0.00149,0.00233,0.00253,0.00328,0.00149,0.00366,0.00389,0.00394,0.00412,0.00432",Ia,590,76
ASASSN-14lp,"12:45:09.10,12:45:09.12","-00:27:32.4,-00:27:32.5,-00:27:32.49",0.005101,Ia,589,27
LSQ12gdj,54:43.3,"-25:40:34.0,-25:40:34.09,-25:40:34.1",0.03,Ia,587,38
SN2013aa,"14:32:33.88,14:32:33.881","-44:13:27.8,-44:13:27.80",0.003999,Ia,583,12
SN2019kg,"11:42:45.750,11:42:45.84","+21:42:53.46,+21:42:53.50,+21:42:53.28,+21:42:53.64",0.079906,Ia,580,1
SN1999by,"09:21:52.07,09:21:52.18,09:21:52.070","+51:00:06.6,+51:00:07.2,+51:00:06.59",0.002128,Ia Pec,573,36
SN2005el,"05:11:48.76,05:11:48.768,05:11:48.72,05:11:48.720","+05:11:39.0,+05:11:39.012,+05:11:39.41,+05:11:39.4","0.014885,0.01491",Ia,552,17
SN2017ckc,"14:28:36.170,14:28:36.1728,14:28:36.24","+16:41:04.42,+16:41:04.4268,+16:41:04.56","0.054,0.054",Ia,550,1
iPTF13ebh,"02:21:59.98,02:21:59.976","+33:16:13.7,+33:16:13.8",,Ia,540,
SN2019yb,"11:00:37.879,11:00:37.869,11:00:37.87,11:00:37.92","+30:30:45.37,+30:30:45.27,+30:30:45.3,+30:30:45.36","0.055,0.055",Ia,529,1
SN2001V,"11:57:24.93,11:57:24.929","+25:12:09.0,+25:12:09.00","0.01502,0.01502",Ia,524,82
SN2003cg,"10:14:15.97,10:14:16.00,10:14:15.970,10:14:16.008","+03:28:02.5,+03:28:01.7,+03:28:02.50,+03:28:01.79",0.00413,Ia,516,43
SN2013gh,"22:02:21.84,22:02:21.840,22:02:21.85","-18:55:00.4,-18:55:00.41,-18:55:00.8",0.0088,Ia,504,5
SN2007le,"23:38:48.45,23:38:48.452,23:38:48.48,23:38:48.41,23:38:48.410","-06:31:21.7,-06:31:21.83,-06:31:21.684,-06:31:21.29,-06:31:21.3","0.006721,0.005522",Ia,503,58
SN2005hc,"01:56:47.976,01:56:47.9,01:56:47.952,01:56:47.928,01:56:47.95,01:56:47.94,01:56:47.940","-00:12:48.62,-00:12:49,-00:12:49.392,-00:12:49.6332,-00:12:49.40,-00:12:49.2,-00:12:49.21",0.044983,Ia,498,8
SN1972E,"13:39:52.7,00:00:00.000,13:39:53.2,13:39:52.70","-31:40:09,-31:40:15.0,-31:40:09.0",0.001358,Ia,490,19
SN2006D,"12:52:33.87,12:52:33.84,12:52:33.94,12:52:33.941","-09:46:30.7,-09:46:30.684,-09:46:30.79,-09:46:30.8","0.008529,0.009641,0.008526",Ia,485,31
SN2005am,"09:16:12.47,09:16:12.96,09:16:12.470","-16:18:16.0,-16:18:15.84,-16:18:15.98","0.007899,0.008967,0.007899",Ia,483,32
SN2017hnp,"23:48:25.671,23:48:25.670,23:48:25.68","-01:43:36.47,-01:43:35.976","0.1473,0.1473",Ia-91T,482,1
SN2005M,"09:37:32.76,09:37:32.40,09:37:32.36,09:37:32.359","+23:12:10.0,+23:12:02.88,+23:12:02.7,+23:12:02.70","0.022972,0.022012",Ia,477,34
SN2016dxv,"18:12:29.400,18:12:29.36,18:12:29.28,18:12:29.35","+31:16:47.30,+31:16:47.3,+31:16:47.28,+31:16:47.4",0.02,Ia,471,
