"Name","R.A.","Dec.","z","Type","Phot.","Spec."
"SN2019cct","15:31:21.070,15:31:21.072,15:31:21.12,15:31:21.06","+35:59:02.62,+35:59:02.61,+35:59:02.76,+35:59:02.5","0.03677,0.03677","II","143",""
"SN1980K","20:35:30.07,20:35:30.070","+60:06:23.7,+60:06:23.75,+60:06:23.80,+60:06:23.8","0.00015","II","143","3"
"SN2002gd","23:14:37.01,23:14:36.96,23:14:36.98,23:14:36.979","+04:30:06.1,+04:30:05.688,+04:30:05.7,+04:30:05.69","0.00761,0.00774,0.00892","II P","142","29"
"SN2006el","22:47:38.50,22:47:38.501","+39:52:27.6,+39:52:27.59","0.017,0.017","IIb","142","9"
"SN2009Z","14:01:53.61,14:01:53.611","-01:20:30.2,-01:20:30.19","","II","142",""
"SN2006V","11:31:30.01,11:31:30.010","-02:17:52.2,-02:17:52.19","0.0158","II","141","10"
"SN2009dd","12:05:34.10,12:05:34.099,12:05:34.1","+50:32:18.6,+50:32:18.60,+50:32:19.4","0.00246","II","140","16"
"SN2013ft","23:41:35.20,23:41:35.156,23:41:35.201,23:41:35.14","+03:43:30.5,+03:43:30.37,+03:43:30.50,+03:43:30.2","0.0092,0.0096,0.0092","II P","140","2"
"SN2002hh","20:34:44.29,20:34:44.290","+60:07:19.0,+60:07:18.98","0.00015,0.00016,0.00015","II","139","10"
"SN2007T","15:00:45.73,15:00:45.730","+49:59:24.3,+49:59:24.29","0.0136","II","139",""
"SN1991al","19:42:24.07,19:42:24,19:42:23.99,19:42:24.060,19:42:24.06","-55:06:23.5,-55:06:23.4,-55:06:23.56,-55:06:23.62,-55:06:23.6","0.01525,0.01494","II P","138","8"
"SN1999el","20:37:18.03,20:37:17.72,20:37:17.719","+66:06:11.9,+66:06:11.5,+66:06:11.48","0.0047","IIn","138","7"
"SN2004ff","04:58:46.19,04:58:46.190","-21:34:12.0,-21:34:12.00","0.023","IIb","138","3"
"SDSS-II SN 1903","22:23:32.64","-00:50:33.4176,-00:50:33.7236","0.090148","II","136",""
"SN1997bs","11:20:14.16,11:20:14.25,11:20:14.251","+12:58:19.56,+12:58:19.6,+12:58:19.60","0.00193","IIn","134",""
"SN1992H","13:56:22.26,00:00:00.000,13:56:22.2,13:56:20.49","+47:14:27.4,+47:14:27.0,+47:14:25.2","0.00457,0.00953","II P","132","35"
"LSQ13zm","10:26:54.55","+19:52:55.2","0.029","IIn","131","12"
"SN2005ci","14:34:44.88,14:34:44.880","+48:40:19.8,+48:40:19.92,+48:40:19.81","0.007581","II","130","4"
"SN2006ba","09:43:13.40,09:43:13.399","-09:36:53.0,-09:36:52.99","0.019,0.019","II","129","1"
"SN2010kd","12:08:01.11,12:08:01.110","+49:13:31.1,+49:13:31.10","0.1,0.1","II","128",""
"SN1969L","02:43:45,00:00:00.000,02:43:45.3,02:43:46.05","+37:18.7,+37:18:39.0,+37:18:37.8","0.00253","II","127","7"
"SN1996cb","11:03:41.98,11:03:41.981","+28:54:13.7,+28:54:13.72","0.0024,0.0026,0.00086","IIb","126","29"
"CSS130925:010249-004431","01:02:49.08,01:02:49.095,01:02:49.07,01:02:49.05","-00:44:30.6,-00:44:30.80,-00:44:30.5,-00:44:30.8,-00:44:30.516","0.0518","II P","125",""
"SN2003hn","03:44:36.1,03:44:36.096,03:44:36.27,03:44:36.101,03:44:36.10","-44:37:49,-44:37:49.08,-44:37:50.1,-44:37:49.01,-44:37:49.0","0.00364,0.00378,0.00382,0.00595","II P","124","10"
