ID,KronRad_3,separation_3,x_3,y_3,KronMag_3,Angle_3,Ellipticity_3,RA_3,Host RA_3,DEC_3,Host Dec_3,Discrepency_3,Z_3,Hecto Z_3,KronRad_4,separation_4,x_4,y_4,KronMag_4,Angle_4,Ellipticity_4,RA_4,Host RA_4,DEC_4,Host Dec_4,Discrepency_4,Z_4,Hecto Z_4,KronRad_5,separation_5,x_5,y_5,KronMag_5,Angle_5,Ellipticity_5,RA_5,Host RA_5,DEC_5,Host Dec_5,Discrepency_5,Z_5,Hecto Z_5,KronRad_6,separation_6,x_6,y_6,KronMag_6,Angle_6,Ellipticity_6,RA_6,Host RA_6,DEC_6,Host Dec_6,Discrepency_6,Z_6,Hecto Z_6
470240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470240,,,,,,,,,,,,,,,2.267669791,14.49956606,-16.82158651,55.55060599,23.2010676,-0.398739398,0.099367585,130.724637,0,45.90521667,0,,0.43,0,1.887072127,18.25809449,35.54756245,63.85245475,21.43140769,-1.113766789,0.513425111,130.7194139,0,45.90579867,0,,0.43,0,1.722274288,18.35663643,35.28623129,64.44749146,21.21324167,-1.144605637,0.48774911,130.7194401,0,45.90583993,0,,0.43,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470244,2.812866392,0.575340444,-1.627010327,-1.627804954,26.04478996,1.351102114,0.269476003,130.4079276,130.4078417,43.77139,43.77143472,8.51E-05,0.36,0.4891,2.327407966,0.632737397,-1.491603013,-2.044919829,24.9650455,-0.597452283,0.02361827,130.4079147,130.4078417,43.77136101,43.77143472,8.51E-05,0.36,0.4891,1.901440148,0.680661105,-1.751440882,-2.084756064,23.98454877,1.520782948,0.158013894,130.4079397,130.4078417,43.77135829,43.77143472,8.51E-05,0.36,0.4891,2.473908318,0.714326133,-1.877816034,-2.153843137,23.86065869,-0.374679029,0.203671258,130.4079519,130.4078417,43.77135351,43.77143472,8.51E-05,0.36,0.4891
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480058,1.554676913,4.05870893,10.59621061,12.30122385,18.63387959,0.481110781,0.656399688,184.3121074,184.3118875,46.72764772,46.7277,0.001268535,0.0326,0.0326,1.519528334,4.147018083,10.77140628,12.61634481,18.24715827,0.482867062,0.643977458,184.3120893,184.3118875,46.7276695,46.7277,0.001268535,0.0326,0.0326,1.494199714,3.912714264,9.496403832,12.44168178,17.14224898,0.458667576,0.625484303,184.3122186,184.3118875,46.72765814,46.7277,0.001268535,0.0326,0.0326,1.475266823,3.968670726,9.654111869,12.60286806,17.03521521,0.43638581,0.629712374,184.3122025,184.3118875,46.72766924,46.7277,0.001268535,0.0326,0.0326
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480064,2.529137806,36.20775639,94.49088268,109.8361297,26.02099475,0.748582363,0.196745844,128.7871259,128.7966458,44.45568216,44.448185,7.36E-05,0.25,0.2429,2.463068679,12.86851542,-51.08283791,-6.542324613,24.77237203,-0.901721239,0.265227341,128.8015252,128.7966458,44.44782638,44.448185,7.36E-05,0.25,0.2429,2.080729504,12.79252015,-50.80174383,-6.340969066,23.54323039,1.281798005,0.073438852,128.8014975,128.7966458,44.44783993,44.448185,7.36E-05,0.25,0.2429,2.167753568,12.83543231,-50.94657429,-6.56393744,23.31899998,-0.338603377,0.18902549,128.801512,128.7966458,44.44782467,44.448185,7.36E-05,0.25,0.2429
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480154,1.629913251,0.570165439,1.505074738,-1.714593635,22.10393671,-0.059177499,0.213598346,151.0706203,151.0705417,2.597272713,2.597333333,0.00019221,0.149,0.149,1.590773111,0.583842942,1.542811351,-1.754291084,21.57922306,0.008870856,0.205629645,151.0706177,151.0705417,2.597269959,2.597333333,0.00019221,0.149,0.149,1.487892289,0.58932881,1.52441996,-1.799155341,20.37118374,-0.100672305,0.235470031,151.070619,151.0705417,2.597266843,2.597333333,0.00019221,0.149,0.149,1.566961477,0.637822626,1.733323779,-1.87331566,20.3857146,-0.047109053,0.230182419,151.0706045,151.0705417,2.597261706,2.597333333,0.00019221,0.149,0.149
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480168,1.46381255,1.609324151,3.045598546,5.673304039,21.11567197,1.213964224,0.446165456,149.8107048,149.8106417,3.163127161,3.1632,0.000541454,0.08,0.0803,1.43345849,1.61544359,3.086870022,5.67883474,20.56639753,1.209078193,0.441251102,149.810702,149.8106417,3.163127544,3.1632,0.000541454,0.08,0.0803,1.385504109,1.645776231,3.156399447,5.779159828,19.31613803,1.201220989,0.43145493,149.8106971,149.8106417,3.163134508,3.1632,0.000541454,0.08,0.0803,1.44309583,1.645688083,3.132842426,5.791565311,19.2832039,1.206939578,0.450518192,149.8106988,149.8106417,3.16313537,3.1632,0.000541454,0.08,0.0803
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480464,1.706224427,3.350588254,10.75632644,-7.999675887,22.07302682,-0.627105236,0.533353668,149.7996896,149.799625,3.221013945,3.221083333,0.000945714,0.22,0.2212,1.571915172,3.341316977,10.78444311,-7.899098591,21.18819604,-0.612528622,0.505435078,149.7996876,149.799625,3.221020927,3.221083333,0.000945714,0.22,0.2212,1.486289609,3.326187448,10.7241744,-7.878925868,19.84030462,-0.618126214,0.498129155,149.7996918,149.799625,3.221022328,3.221083333,0.000945714,0.22,0.2212,1.548933806,3.341028127,10.73713775,-7.961357656,19.70525988,-0.631403804,0.490299311,149.7996909,149.799625,3.221016605,3.221083333,0.000945714,0.22,0.2212
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480552,1.816270749,33.79169802,-96.14832299,95.08074327,23.19417233,0.967213571,0.320817635,148.6745724,0,2.201673658,0,,1.52,0,1.701001053,33.74009169,-96.26110624,94.67242353,22.66664236,0.931428075,0.36186383,148.6745803,0,2.201645317,0,,1.52,0,1.645766277,33.7362538,-96.22467521,94.68754298,21.4670427,0.903684676,0.323362066,148.6745777,0,2.201646365,0,,1.52,0,1.939660389,33.76290493,-96.01580782,95.05083068,21.46056588,0.970914662,0.313945141,148.6745632,0,2.201671574,0,,1.52,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480845,1.40781948,5.759463999,1.801059677,22.97649278,17.62513722,1.415776849,0.565062645,187.2856813,187.2856583,46.88143404,46.88150833,0.001674861,0.04,0.0395,2.08809046,15.60387069,61.17343898,12.62456226,23.38019104,-0.043998048,0.215161419,187.2796255,187.2856583,46.88083557,46.88150833,0.001674861,0.04,0.0395,,,,,,,,,,,,,,,1.328703833,5.760725514,2.272408182,22.93982299,15.39962981,1.416953087,0.556576324,187.2856333,187.2856583,46.88143245,46.88150833,0.001674861,0.04,0.0395
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490007,1.440164713,3.066035259,-7.496455859,-9.707473653,19.75281615,-1.309213758,0.042424151,184.2685838,184.2685875,46.62680581,46.62694444,0.000749477,0.054,0.0544,1.429620822,2.966354135,-7.599925234,-9.113198295,19.37645316,-1.387024164,0.04616228,184.2685937,184.2685875,46.62684714,46.62694444,0.000749477,0.054,0.0544,1.417919456,2.982595626,-7.501766193,-9.277874391,18.28187004,-1.185504436,0.044162644,184.2685839,184.2685875,46.62683564,46.62694444,0.000749477,0.054,0.0544,1.482133525,2.94536877,-7.597152365,-9.005956529,18.20430755,-1.182676315,0.044995879,184.2685933,184.2685875,46.62685458,46.62694444,0.000749477,0.054,0.0544
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490008,1.600039392,0.869320889,-3.453427148,-0.409959756,22.02140022,-0.394647002,0.237099391,131.4489353,0,44.42057458,0,,0.13,0,1.536493885,0.912200609,-3.635509427,-0.31600132,21.69440578,-0.416547924,0.227745974,131.4489531,0,44.42058097,0,,0.13,0,1.469694547,0.917558303,-3.664035583,-0.220311363,20.61765078,-0.344389826,0.253911799,131.448956,0,44.4205876,0,,0.13,0,1.676813284,0.901260513,-3.602431314,-0.147658114,20.59340865,-0.355439752,0.266995746,131.4489501,0,44.42059268,0,,0.13,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490025,1.644761732,0.503351988,0.579045349,-1.929502901,21.4848584,-0.738301098,0.425475209,149.3508431,149.35075,3.579518842,3.579555556,0.000164805,0.079,0.0792,1.573431994,0.59223601,0.900831723,-2.192301653,20.91932912,-0.725614965,0.4385519,149.3508207,149.35075,3.579500588,3.579555556,0.000164805,0.079,0.0792,,,,,,,,,,,,,,,1.597863005,0.55960684,0.816033787,-2.085635171,19.6797864,-0.695830524,0.38972245,149.3508266,149.35075,3.579507995,3.579555556,0.000164805,0.079,0.0792
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490037,1.55230154,1.398089225,2.609907326,4.949232271,21.84362182,0.789453685,0.147464577,149.9570146,149.9569,0.816960161,0.817016667,0.000497493,0.422,0.4219,1.645256968,1.402876476,3.113074908,4.672080711,20.79569967,0.812289298,0.21042423,149.9569797,149.9569,0.816940925,0.817016667,0.000497493,0.422,0.4219,1.671021179,1.366364153,3.1055628,4.500603383,19.46662094,0.750808358,0.228559821,149.9569802,149.9569,0.816929024,0.817016667,0.000497493,0.422,0.4219,1.658588561,1.332004189,3.059064613,4.365441551,19.31373661,0.750435114,0.242326046,149.9569834,149.9569,0.816919643,0.817016667,0.000497493,0.422,0.4219
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490521,2.042929591,0.779919554,-3.119040418,0.113653373,24.11802559,-0.552228451,0.070920632,148.8653874,148.8652917,1.575302452,1.575363889,0.000139328,0.34,0.9876,1.555894096,12.11505199,38.44535167,29.52527788,21.46128897,0.242360905,0.099035732,148.8624997,148.8652917,1.577342709,1.575363889,0.000139328,0.34,0.9876,1.473049969,12.09738776,38.35496329,29.52686382,19.94093161,0.145682469,0.128728445,148.8625059,148.8652917,1.577342823,1.575363889,0.000139328,0.34,0.9876,1.526021422,12.13313031,38.47371275,29.60705469,19.76461505,0.080729231,0.109657968,148.8624977,148.8652917,1.577348385,1.575363889,0.000139328,0.34,0.9876
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490563,2.364405802,0.63233099,0.657994396,-2.442383703,24.46024487,0.335616112,0.304161808,185.3090564,0,47.49753058,0,,0.048,0,2.204983925,0.601503343,0.029214534,-2.40595905,24.06470219,0.491577446,0.215516646,185.309121,0,47.49753294,0,,0.048,0,2.074424183,0.577613449,0.383014817,-2.278612965,22.93219365,0.509489,0.241116969,185.3090847,0,47.49754188,0,,0.048,0,2.337216624,0.658982479,0.001066024,-2.636063749,22.87292886,0.605449855,0.116284071,185.3091238,0,47.49751695,0,,0.048,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500004,2.242891896,0.35958288,-1.098484964,-0.929589749,24.34107461,-1.413557053,0.238041183,213.0234486,0,51.67382483,0,,0.25,0,1.947205437,0.360398635,-1.092241711,-0.941930951,23.79415415,-1.543324709,0.149005807,213.0234479,0,51.67382397,0,,0.25,0,1.864957565,0.405629039,-1.144592715,-1.15116541,22.78413237,-1.526771784,0.10964577,213.0234539,0,51.67380948,0,,0.25,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500012,1.453365047,12.30818219,-38.50683449,-30.70754006,18.86536568,0.696026385,0.483330278,213.9957961,0,52.0507848,0,,0.0767,0,,,,,,,,,,,,,,,1.685091872,12.27241613,-38.23194001,-30.82168815,16.84832754,0.681496859,0.427724936,213.995765,0,52.05077702,0,,0.0767,0,1.947246051,12.21577742,-38.01111639,-30.73443344,16.66164446,0.673849821,0.435137213,213.9957401,0,52.05078319,0,,0.0767,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500022,2.191786742,0.434163394,-1.078480346,-1.361902662,25.43724208,-1.431510091,0.244617534,132.0698308,0,43.96841245,0,,0.1189,0,2.120576892,0.383704452,-0.795785381,-1.312933165,24.85463368,0.84010011,0.046786081,132.0698036,0,43.9684162,0,,0.1189,0,2.145821174,0.401856781,-0.881920825,-1.344473897,23.62166193,0.429077476,0.162199229,132.0698119,0,43.96841391,0,,0.1189,0,2.176901251,0.404880102,-1.180254194,-1.109798498,23.75005472,-0.110746965,0.067420715,132.0698411,0,43.96842983,0,,0.1189,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500038,1.426329412,5.683687137,-22.73538823,0.045771528,20.24494687,-0.144798085,0.702420353,150.1940387,150.1939083,2.55124183,2.551275,0.001449013,0.1189,0.1068,1.382419133,5.640546782,-22.56240399,0.144972371,19.70470719,-0.149416178,0.691703671,150.1940267,150.1939083,2.551248721,2.551275,0.001449013,0.1189,0.1068,1.341430719,5.586933064,-22.34750974,0.200543621,18.45392068,-0.152802825,0.676724659,150.1940117,150.1939083,2.551252582,2.551275,0.001449013,0.1189,0.1068,1.395581329,5.565165625,-22.26061072,0.179786525,18.39135307,-0.14676778,0.674877943,150.1940057,150.1939083,2.551251141,2.551275,0.001449013,0.1189,0.1068
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500057,1.903336916,22.65892774,10.76395506,90.00831725,23.89107604,-0.383223772,0.387326201,214.4724218,0,53.84794852,0,,0.38,0,1.706542175,22.59384246,11.33454795,89.67573172,23.15990502,-0.374792397,0.423958944,214.4723541,0,53.847926,0,,0.38,0,1.798717776,10.49972272,-36.6267825,-20.56220791,23.0756287,-1.055563807,0.124704689,214.4778126,0,53.84022473,0,,0.38,0,1.923536127,22.58796084,11.40442429,89.64314432,21.99553532,-0.431235731,0.389261043,214.4723458,0,53.84792381,0,,0.38,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500063,2.812722072,0.556339363,-2.2139086,0.232939619,25.27964852,-1.143936753,0.372626628,186.2780006,0,47.92610529,0,,0.1365,0,2.370730135,0.496756977,-1.987190714,0.044224951,24.59605639,-1.251641512,0.432042746,186.2779768,0,47.92609245,0,,0.1365,0,2.217433372,0.452207449,-1.802536077,0.158036901,23.43254399,-1.175914407,0.346819994,186.2779578,0,47.92610056,0,,0.1365,0,2.179363075,0.489002301,-1.956514313,-0.022165183,23.30797803,-1.26579237,0.364334106,186.2779735,0,47.92608788,0,,0.1365,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500100,2.651941004,4.755755225,-13.51580482,-13.39339519,23.88400639,0.311874539,0.15157406,131.6398432,0,45.35521094,0,,0.31,0,2.249827702,4.822343966,-13.73031406,-13.55537839,22.52934295,-1.100818515,0.059746549,131.6398642,0,45.3551995,0,,0.31,0,2.072597532,4.85694638,-13.8067537,-13.67497787,21.10660275,0.708395243,0.052440948,131.6398716,0,45.35519113,0,,0.31,0,2.107919498,4.863689038,-13.75119858,-13.76900742,20.84601663,0.972227931,0.020422227,131.639866,0,45.35518466,0,,0.31,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500301,1.966608535,0.572388916,-0.174934159,-2.283716111,23.75972679,-0.842150331,0.261117993,215.547729,0,52.6316884,0,,0.326,0,1.743553969,0.589080765,-0.282258955,-2.340265372,22.98044502,-0.963707805,0.343349119,215.5477411,0,52.63168426,0,,0.326,0,1.577163763,0.57716013,-0.174577132,-2.302890152,21.80088381,-0.942867994,0.344259862,215.5477289,0,52.63168707,0,,0.326,0,1.579290983,0.580620866,-0.23693699,-2.311248886,21.63333101,-1.021325111,0.324280866,215.547736,0,52.63168637,0,,0.326,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500332,1.477432689,3.255783715,11.70491743,5.711635583,20.90264078,0.57145226,0.759362786,149.4684825,149.4684083,1.87291581,1.872991667,0.001004892,0.098,0.0988,1.417122171,3.273414691,11.79761536,5.68211038,20.28657496,0.568466008,0.752860744,149.4684761,149.4684083,1.872913757,1.872991667,0.001004892,0.098,0.0988,1.399155086,3.292209476,11.85455679,5.737094088,18.98895703,0.569936156,0.748740578,149.4684721,149.4684083,1.872917574,1.872991667,0.001004892,0.098,0.0988,1.43968952,3.321889727,11.97738094,5.755742638,18.90395642,0.566742122,0.752963585,149.4684636,149.4684083,1.872918867,1.872991667,0.001004892,0.098,0.0988
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
